Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-30,키움,7회말,박윤성,4 박병호,5 (2-2),헛스윙 삼진,2사  0:3,이닝종료 0:3,0.11,0.119,-0.119,93.1%,-0.003
05-04,키움,7회말,조상우,5 박병호,5 (3-1),유격수 땅볼 아웃,2사  2:5,이닝종료 2:5,0.11,0.117,-0.117,93.1%,-0.003
07-10,NC,7회말,배재환,5 박병호,5 (2-2),헛스윙 삼진,무사  6:10,1사  6:10,0.11,0.579,-0.276,96.9%,-0.003
06-08,키움,7회초,문성현,4 박병호,4 (1-2),2루수 플라이 아웃,1사 1루 2:10,2사 1루 2:10,0.06,0.550,-0.307,99.8%,-0.002
07-12,두산,9회초,박치국,6 박병호,6 (3-2),헛스윙 삼진,2사 1루 9:5,이닝종료 9:5,0.06,0.228,-0.228,1.8%,-0.002
04-09,NC,8회초,서의태,6 박병호,3 (0-2),헛스윙 삼진,2사  6:1,이닝종료 6:1,0.03,0.115,-0.115,2.1%,-0.001
04-24,한화,7회말,장민재,4 박병호,5 (2-2),2루수 플라이 아웃,1사 1루 1:7,2사 1루 1:7,0.03,0.561,-0.321,99.3%,-0.001
05-01,KIA,9회초,양현종,5 박병호,5 (2-2),헛스윙 삼진,"1사 1,2루 1:9","2사 1,2루 1:9",0.03,1.071,-0.596,100.0%,-0.001
03-24,삼성,8회말,이재익,4 박병호,4 (2-1),유격수 병살타 아웃,"1사 1,3루 11:1",이닝종료 11:1,0.02,1.262,-1.262,0.0%,-0.001
08-04,SSG,8회말,한두솔,6 박병호,8 (2-2),헛스윙 삼진,1사  3:8,2사  3:8,0.02,0.305,-0.187,99.4%,0.000
05-01,KIA,7회초,양현종,5 박병호,2 (0-1),우익수 플라이 아웃,2사  1:9,이닝종료 1:9,0.02,0.116,-0.116,99.9%,0.000
05-12,두산,8회초,이영하,3 박병호,4 (2-1),3루수 땅볼 아웃,2사  4:11,이닝종료 4:11,0.01,0.119,-0.119,99.9%,0.000
05-19,LG,7회말,우강훈,5 박병호,8 (3-2),1루수 땅볼 아웃,무사 2루 3:9,1사 3루 3:9,0.03,1.294,-0.276,99.5%,0.000
04-25,한화,8회말,김범수,2 박병호,3 (1-1),좌익수 플라이 아웃,무사  0:9,1사  0:9,0.00,0.570,-0.270,100.0%,0.000
03-31,한화,9회초,이태양,8 박병호,1 (0-0),좌익수 플라이 아웃,"1사 1,2루 3:14","2사 1,3루 3:14",0.00,0.974,-0.433,100.0%,0.000
06-08,키움,9회초,김연주,4 박병호,3 (2-0),유격수 직선타 아웃,2사  3:10,이닝종료 3:10,0.00,0.119,-0.119,100.0%,0.000
05-02,KIA,9회초,김사윤,6 박병호,2 (1-0),유격수 땅볼 아웃,1사  12:4,2사  12:4,0.00,0.302,-0.185,0.1%,0.000
06-23,두산,8회말,김호준,2 박병호,4 (3-0),4구,"1사 2,3루 4:7",1사 만루 4:7,0.19,1.534,0.296,98.4%,0.000
06-09,키움,9회초,오석주,4 박병호,4 (3-0),4구,1사 1루 7:1,"1사 1,2루 7:1",0.02,0.551,0.453,0.2%,0.000
08-03,SSG,7회말,이건욱,3 박병호,5 (2-2),좌익수 방면 1루타,1사 만루 2:10,"1사 1,2루 2:12",0.01,1.966,1.154,100.0%,0.001
