Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-14,두산,4회초,발라조빅,3 구자욱,2 (0-1),우익수 플라이 아웃,무사  0:1,1사  0:1,1.14,0.581,-0.280,65.4%,-0.029
04-09,롯데,1회초,나균안,3 구자욱,3 (1-1),선행주자아웃 출루,1사 1루 0:0,2사 1루 0:0,1.15,0.534,-0.310,52.6%,-0.028
06-15,NC,1회초,하트,3 구자욱,9 (3-2),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.15,0.562,-0.323,52.6%,-0.028
05-08,KIA,6회말,양현종,3 구자욱,4 (2-1),2루수 땅볼 아웃,1사 2루 0:1,2사 3루 0:1,1.16,0.813,-0.389,73.4%,-0.028
04-24,LG,1회말,켈리,3 구자욱,4 (1-2),중견수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.536,-0.314,52.2%,-0.028
04-13,NC,1회말,하트,3 구자욱,3 (0-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.16,0.551,-0.314,52.2%,-0.028
04-14,NC,1회말,이재학,3 구자욱,2 (0-1),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.549,-0.307,52.2%,-0.028
06-19,SSG,1회말,오원석,3 구자욱,2 (0-1),선행주자아웃 출루,1사 1루 0:0,2사 1루 0:0,1.16,0.564,-0.325,52.2%,-0.028
06-23,두산,1회말,김동주,3 구자욱,2 (1-0),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.562,-0.325,52.2%,-0.028
07-02,KIA,1회말,네일,3 구자욱,2 (1-0),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.564,-0.330,52.2%,-0.028
03-23,KT,4회초,쿠에바스,3 구자욱,3 (0-2),헛스윙 삼진,무사  1:1,1사  1:1,1.08,0.529,-0.258,52.7%,-0.027
05-21,KT,3회말,육청명,2 구자욱,2 (0-1),투수 땅볼 아웃,무사  3:1,1사  3:1,1.05,0.562,-0.269,29.7%,-0.027
04-09,롯데,3회초,나균안,3 구자욱,2 (0-1),2루수 땅볼 아웃,2사 1루 0:1,이닝종료 0:1,0.93,0.224,-0.224,67.1%,-0.026
06-14,NC,3회초,신민혁,3 구자욱,2 (0-1),우익수 플라이 아웃,2사 1루 1:2,이닝종료 1:2,0.93,0.239,-0.239,67.1%,-0.026
04-27,키움,7회초,김재웅,3 구자욱,2 (1-0),좌익수 플라이 아웃,2사 1루 1:0,이닝종료 1:0,0.93,0.239,-0.239,36.0%,-0.026
05-02,두산,9회초,홍건희,3 구자욱,3 (0-2),낫아웃 삼진,1사 2루 3:2,2사 2루 3:2,0.91,0.814,-0.419,17.2%,-0.026
07-13,두산,3회초,시라카와,3 구자욱,3 (1-1),선행주자아웃 출루,"1사 1,2루 0:5","2사 1,3루 0:5",1.21,1.091,-0.574,91.0%,-0.025
08-08,한화,3회말,문동주,3 구자욱,5 (2-2),낫아웃 삼진,무사  2:2,1사  2:2,0.99,0.597,-0.291,53.0%,-0.025
04-26,키움,6회초,김성민,3 구자욱,6 (3-2),2루수 직선타 아웃,무사  1:0,1사  1:0,0.97,0.541,-0.266,36.2%,-0.025
06-18,SSG,4회말,앤더슨,4 구자욱,6 (2-2),1루수 땅볼 아웃,무사  5:2,1사  5:2,0.97,0.570,-0.270,18.6%,-0.025
07-19,롯데,4회말,김진욱,3 구자욱,4 (1-2),1루수 땅볼 아웃,무사  3:0,1사  3:0,0.97,0.585,-0.284,18.6%,-0.025
